K,E,K_prob,E_prob
(v) 강화되다. 강력해지다. 강화하다.,strengthen,0.09000000000000001,0.1
(숙) 몸을 튼튼하게 하다.,strengthen one's body,0.09000000000000001,0.1
(숙) 팀을 보강하다.,strengthen the team,0.1,0.09000000000000001
(숙) ~에 직면한,faced in,0.09000000000000001,0.1
(숙) 그 점을 안중에 두다.,take it into account,0.1,0.09000000000000001
(숙) ~을 고려하여,by taking ~ into account,0.09000000000000001,0.1
(A) 소산하는. 낭비적인. 에너지가 흩어지는,dissipative,0.1,0.09000000000000001
(숙) 비선형의 소산계,nonlinear dissipative system,0.1,0.09000000000000001
(A) 정확한. 정밀한. 명중하는,accurate,0.09000000000000001,0.1
(A) 부정확한. 오류가 있는,inaccurate,0.1,0.09000000000000001
(A) 중대한. 결정적인.,crucial,0.09000000000000001,0.1
(숙) 중대한 요소,crucial factor,0.1,0.09000000000000001
(숙) 중대한 사안,crucial issue,0.1,0.09000000000000001
(숙) 중대한 결정,crucial decision,0.1,0.09000000000000001
(A) [환경 파괴 없이] 지속 가능한,sustainable,0.1,0.09000000000000001
(숙) 지속 가능한 경제 성장,sustainable economic growth,0.09000000000000001,0.1
"(한정사, 대명사) [둘중] 어느 하나. 각각의",either,0.1,0.09000000000000001
(부사) ~나[든] ~나[든]. ~도 역시,either A or B,0.1,0.09000000000000001
"(부사) 결국, 종내, 궁극적으로",eventually,0.1,0.09000000000000001
(N) [특정한] 지구. 구역,district,0.09000000000000001,0.1
(V) 격식: 축소[삭감/단축]시키다.,curtail,0.1,0.09000000000000001
(N) 영향 인자,influencing factor,0.1,0.09000000000000001
(전) 오랜시간 동안에. 그 기간 내내,throughout time,0.09000000000000001,0.1
(A) 보조하는. 보조용의,relieving,0.09000000000000001,0.1
(V) 격식: 가능하게[용의하게] 하다.,facilitate,0.09000000000000001,0.1
